id_scjn,expediente,urlInternet
232826,2074/2025,https://www2.scjn.gob.mx/juridica/engroses/2/2025/10/2_348235_7257.docx
232809,6/2025,https://www2.scjn.gob.mx/juridica/engroses/2/2025/68/2_348499_7265.docx
232961,156/2025,https://www2.scjn.gob.mx/juridica/engroses/1/2025/17/2_347893_7323.docx
233294,49/2025,https://www2.scjn.gob.mx/juridica/engroses/1/2025/4/2_346801_7324.docx
233281,2221/2025,https://www2.scjn.gob.mx/juridica/engroses/1/2025/10/2_348502_7324.docx
233185,37/2025,https://www2.scjn.gob.mx/juridica/engroses/2/2025/14/3_350865_7267.docx
233302,269/2025,https://www2.scjn.gob.mx/juridica/engroses/1/2025/17/2_350732_7324.doc
233082,2277/2025,https://www2.scjn.gob.mx/juridica/engroses/2/2025/10/2_348601_7267.docx
233088,168/2025,https://www2.scjn.gob.mx/juridica/engroses/2/2025/4/2_351689_7267.docx
233126,261/2025,https://www2.scjn.gob.mx/juridica/engroses/2/2025/17/3_350338_7268.docx
233297,429/2025,https://www2.scjn.gob.mx/juridica/engroses/1/2025/10/2_344837_7324.docx
233090,279/2025,https://www2.scjn.gob.mx/juridica/engroses/2/2025/17/2_351014_7268.docx
233219,660/2025,https://www2.scjn.gob.mx/juridica/engroses/1/2025/10/2_345301_7324.docx
231618,16/2025,https://www2.scjn.gob.mx/juridica/engroses/1/2025/17/2_344585_7296.docx
231609,7/2025,https://www2.scjn.gob.mx/juridica/engroses/3/2025/508/3_344787_7103.docx
232268,1385/2025,https://www2.scjn.gob.mx/juridica/engroses/2/2025/10/2_346933_7256.docx
232147,804/2025,https://www2.scjn.gob.mx/juridica/engroses/2/2025/10/2_345597_7250.docx
231815,393/2025,https://www2.scjn.gob.mx/juridica/engroses/2/2025/10/2_344797_7094.docx
232232,73/2025,https://www2.scjn.gob.mx/juridica/engroses/2/2025/2/3_345843_7255.docx
231342,17/2025,https://www2.scjn.gob.mx/juridica/engroses/2/2025/2/2_344316_7095.docx
232407,77/2025,https://www2.scjn.gob.mx/juridica/engroses/1/2025/10/2_344198_7312.docx
232525,1729/2025,https://www2.scjn.gob.mx/juridica/engroses/1/2025/10/2_347592_7312.docx
232380,190/2025,https://www2.scjn.gob.mx/juridica/engroses/2/2025/17/2_348688_7258.docx
232845,91/2025,https://www2.scjn.gob.mx/juridica/engroses/2/2025/4/3_348319_7265.docx
232892,2379/2025,https://www2.scjn.gob.mx/juridica/engroses/2/2025/10/3_348791_7265.docx
232893,2381/2025,https://www2.scjn.gob.mx/juridica/engroses/2/2025/10/3_348781_7265.docx
232714,72/2025,https://www2.scjn.gob.mx/juridica/engroses/1/2025/4/3_347608_7320.docx
232515,119/2025,https://www2.scjn.gob.mx/juridica/engroses/1/2025/10/2_344264_7304.docx
232507,156/2025,https://www2.scjn.gob.mx/juridica/engroses/1/2025/10/2_344330_7312.docx
232315,99/2025,https://www2.scjn.gob.mx/juridica/engroses/1/2025/17/2_346601_7314.docx
232716,177/2025,https://www2.scjn.gob.mx/juridica/engroses/1/2025/24/2_346748_7320.docx
232721,1127/2025,https://www2.scjn.gob.mx/juridica/engroses/1/2025/10/2_346391_7320.docx
232464,13/2025-CA,https://www2.scjn.gob.mx/juridica/engroses/1/2025/30/3_347630_7304.docx
232274,184/2025,https://www2.scjn.gob.mx/juridica/engroses/1/2025/10/2_344360_7304.docx
233060,101/2025,https://www2.scjn.gob.mx/juridica/engroses/1/2025/4/2_348792_7323.docx
233073,339/2025,https://www2.scjn.gob.mx/juridica/engroses/1/2025/24/2_349398_7323.docx
